ID,timestamp_in,timestamp_out,duration,direction
1,5356.2,5476.19,119.99,up
2,3331.37,3395.46,64.09,up
3,4691.16,4936.12,244.96,up
4,4182.07,4458.59,276.52,down
5,7712.99,7872.8,159.81,down
6,7793.74,7875.84,82.1,down
7,5434.89,5588.37,153.48,down
8,6222.47,6298.780000000001,76.31,up
9,7512.57,7779.98,267.41,down
10,1669.07,1965.71,296.64,up
11,529.21,571.1600000000001,41.95,up
12,1410.23,1515.89,105.66,down
13,6215.47,6327.4800000000005,112.01,up
14,3190.75,3425.45,234.7,up
15,8220.64,8335.17,114.53,up
16,7411.92,7543.61,131.69,up
17,3791.36,3852.58,61.22,up
